Kod_stacji,Nazwa_stacji,Miesiac,Absolutna_temperatura_maksymalna,Srednia_temperatura_maksymalna,Absolutna_temperatura_minimalna,Srednia_temperatura_minimalna,Srednia_temperatura_miesieczna,Minimalna_temperatura_przy_gruncie,Miesieczna_suma_opadow,Maksymalna_dobowa_suma_opadow,Miesieczna_suma_uslonecznienia,Liczba_dni_z_opadem_deszczu,Srednia_miesieczna_predkosc_wiatru,Srednie_miesieczne_cisnienie_na_poziomie_stacji,Srednia_miesieczna_wilgotnosc_wzgledna
349190600,BIELSKO-BIA�A,1,18.0,5.3,-6.2,1.0,3.1,-9.8,86.8,14.2,61.5,9,4.0,968.6,80.7
349190600,BIELSKO-BIA�A,2,11.1,4.6,-14.1,-1.7,1.4,-18.7,49.9,13.3,0.0,9,4.3,975.5,77.7
349190600,BIELSKO-BIA�A,3,18.6,10.1,-9.1,1.5,5.6,-13.9,38.0,6.8,0.0,11,4.6,963.8,66.1
349190600,BIELSKO-BIA�A,4,20.9,11.7,-6.0,3.1,7.1,-7.3,56.1,10.7,146.2,13,2.8,967.9,72.7
349190600,BIELSKO-BIA�A,5,23.9,17.3,0.6,7.3,12.4,-1.3,109.9,33.1,214.0,11,2.9,972.7,71.2
349190600,BIELSKO-BIA�A,6,29.7,22.7,5.3,11.8,17.3,3.2,48.6,11.8,265.0,10,2.7,970.0,69.3
349190600,BIELSKO-BIA�A,7,30.7,25.0,8.8,14.7,19.8,6.8,135.6,41.6,274.0,15,2.9,967.8,67.5
349190600,BIELSKO-BIA�A,8,31.0,24.3,7.8,15.4,19.5,6.3,112.4,27.8,196.7,18,3.0,968.2,76.5
349190600,BIELSKO-BIA�A,9,28.3,23.2,9.6,13.2,17.8,8.6,101.5,19.4,234.4,11,2.7,973.2,76.2
349190600,BIELSKO-BIA�A,10,23.7,17.4,-0.4,8.5,12.9,-3.7,100.7,20.5,133.2,16,4.0,966.2,72.2
349190600,BIELSKO-BIA�A,11,16.8,8.1,-6.0,3.0,5.4,-15.3,73.7,9.6,0.0,14,4.4,960.1,75.0
349190600,BIELSKO-BIA�A,12,13.3,5.6,-7.1,0.2,3.1,-14.7,74.2,16.0,68.0,10,4.8,965.7,73.9
349190625,ZAKOPANE,1,16.7,2.9,-9.9,-3.3,-0.4,-14.8,110.2,21.9,53.1,3,1.4,916.0,85.8
349190625,ZAKOPANE,2,9.5,2.4,-17.7,-5.8,-2.1,-23.4,57.3,11.5,92.0,3,2.0,922.0,78.9
349190625,ZAKOPANE,3,16.3,7.9,-11.8,-2.2,2.5,-17.6,37.1,11.2,164.3,8,2.0,911.9,67.8
349190625,ZAKOPANE,4,17.5,8.5,-7.5,0.4,4.1,-8.3,80.1,17.9,101.8,13,1.5,915.5,75.1
349190625,ZAKOPANE,5,21.5,15.7,-2.6,4.6,10.0,-5.1,113.7,26.5,211.6,14,1.6,921.2,73.6
349190625,ZAKOPANE,6,26.3,19.4,2.3,9.2,14.2,0.2,147.9,41.6,189.1,13,1.3,919.5,76.5
349190625,ZAKOPANE,7,29.0,22.8,6.5,11.7,16.9,5.3,172.5,39.5,228.4,17,1.4,918.2,72.3
349190625,ZAKOPANE,8,29.1,23.3,6.6,12.7,17.4,5.0,188.3,28.9,204.7,17,1.2,918.6,78.6
349190625,ZAKOPANE,9,25.7,21.0,6.0,9.8,14.9,3.3,129.7,37.1,222.8,11,1.3,923.2,79.5
349190625,ZAKOPANE,10,23.0,15.6,-3.1,4.7,9.6,-7.2,112.4,27.5,139.8,12,1.7,915.7,78.4
349190625,ZAKOPANE,11,14.5,5.6,-12.3,-1.4,2.0,-17.3,113.2,19.9,58.6,10,2.1,908.3,81.0
349190625,ZAKOPANE,12,12.1,3.7,-13.3,-3.3,0.1,-19.9,34.5,7.6,55.1,3,2.0,913.4,78.6
349190650,KASPROWY WIERCH,1,8.1,-2.3,-14.7,-7.5,-4.9,0.0,175.4,36.2,105.2,0,7.3,794.0,80.3
349190650,KASPROWY WIERCH,2,4.2,-4.5,-19.0,-10.3,-7.5,0.0,136.3,40.6,109.4,0,7.6,798.0,75.2
349190650,KASPROWY WIERCH,3,3.4,-2.2,-17.4,-7.7,-4.8,0.0,114.3,44.6,119.9,0,7.3,791.0,80.7
349190650,KASPROWY WIERCH,4,4.5,-1.1,-15.9,-5.9,-3.7,0.0,159.8,23.1,84.1,0,5.3,794.4,91.1
349190650,KASPROWY WIERCH,5,11.3,5.7,-5.7,0.6,3.1,0.0,117.7,23.6,219.5,8,4.2,802.1,81.1
349190650,KASPROWY WIERCH,6,17.9,10.2,-3.6,4.4,6.9,0.0,180.2,47.8,123.6,14,4.0,802.3,89.9
349190650,KASPROWY WIERCH,7,20.3,13.6,0.4,7.1,9.8,0.0,123.8,28.7,186.9,16,5.0,802.5,82.3
349190650,KASPROWY WIERCH,8,19.8,14.5,0.6,8.5,11.2,0.0,241.6,55.0,181.1,16,5.1,803.3,82.5
349190650,KASPROWY WIERCH,9,17.4,12.0,1.8,6.6,9.1,0.0,142.9,30.2,199.3,12,5.3,806.4,82.6
349190650,KASPROWY WIERCH,10,12.9,6.6,-8.4,0.3,3.2,0.0,155.1,34.4,121.6,10,8.1,797.6,85.6
349190650,KASPROWY WIERCH,11,4.2,-2.7,-15.9,-7.3,-5.1,0.0,198.8,38.0,44.3,2,8.6,787.6,92.5
349190650,KASPROWY WIERCH,12,5.8,-2.1,-16.0,-7.5,-4.9,0.0,75.7,11.6,51.6,1,8.6,791.9,81.3
349200628,HALA G�SIENICOWA,1,13.9,0.9,-13.2,-4.9,-2.3,-16.8,137.1,29.2,70.0,1,3.6,842.1,76.1
349200628,HALA G�SIENICOWA,2,7.4,-1.4,-18.7,-8.3,-4.9,-22.2,104.2,16.1,83.7,1,3.2,846.9,73.4
349200628,HALA G�SIENICOWA,3,8.7,2.3,-15.0,-4.9,-1.3,-19.7,101.1,29.1,116.8,2,3.8,838.8,70.1
349200628,HALA G�SIENICOWA,4,9.6,2.6,-14.3,-3.1,-0.5,-13.9,155.7,19.8,81.4,4,2.5,842.4,81.9
349200628,HALA G�SIENICOWA,5,16.7,10.0,-3.9,2.5,6.1,-6.4,153.2,26.5,186.8,10,2.6,849.2,74.7
349200628,HALA G�SIENICOWA,6,21.8,13.5,-0.9,6.4,9.8,-2.5,217.3,49.2,132.8,16,2.3,848.7,81.2
349200628,HALA G�SIENICOWA,7,23.3,17.1,3.0,9.3,12.9,2.2,148.2,39.4,175.2,21,2.7,848.4,73.1
349200628,HALA G�SIENICOWA,8,23.5,18.0,3.3,10.3,14.1,1.5,268.4,57.0,169.8,17,2.8,849.0,75.5
349200628,HALA G�SIENICOWA,9,20.8,15.3,3.7,8.2,11.5,0.7,174.6,38.0,178.0,11,3.3,852.6,78.4
349200628,HALA G�SIENICOWA,10,17.8,10.7,-5.9,3.2,6.6,-7.9,199.5,49.8,107.0,12,4.0,844.4,77.2
349200628,HALA G�SIENICOWA,11,8.6,1.0,-12.8,-4.2,-1.7,-16.1,214.1,38.2,29.6,1,4.2,835.3,84.5
349200628,HALA G�SIENICOWA,12,9.9,1.4,-15.6,-4.7,-1.4,-19.5,83.5,18.5,32.5,1,3.6,839.9,72.3
349200660,NOWY S�CZ,1,14.4,5.4,-4.7,0.2,2.6,0.0,78.2,14.3,51.3,11,0.0,981.5,83.7
349200660,NOWY S�CZ,2,11.8,5.2,-12.5,-1.8,1.4,-18.0,40.2,12.8,80.5,14,2.3,987.8,76.5
349200660,NOWY S�CZ,3,20.5,11.7,-6.5,0.5,5.6,-11.6,37.8,8.5,175.9,15,0.0,976.3,66.9
349200660,NOWY S�CZ,4,22.2,12.7,-2.7,3.2,7.6,-5.0,65.8,14.4,140.9,14,1.8,980.0,73.2
349200660,NOWY S�CZ,5,25.5,18.7,-0.6,6.6,12.7,-2.0,46.3,20.1,226.4,8,1.6,985.2,71.0
349200660,NOWY S�CZ,6,30.4,23.0,3.9,11.9,17.1,2.0,69.3,13.2,221.6,13,1.4,982.0,73.4
349200660,NOWY S�CZ,7,32.3,26.2,10.2,14.1,19.7,9.2,162.4,36.1,261.7,14,1.3,979.7,71.7
349200660,NOWY S�CZ,8,32.4,26.6,9.4,15.4,20.1,8.1,161.8,32.7,234.4,15,1.2,980.2,77.5
349200660,NOWY S�CZ,9,29.6,23.9,8.0,12.0,17.3,6.4,79.4,19.8,236.3,9,1.3,985.7,79.5
349200660,NOWY S�CZ,10,25.4,17.6,-1.0,7.7,12.1,-4.1,77.6,20.8,152.8,13,0.0,978.7,0.0
349200660,NOWY S�CZ,11,16.1,8.3,-8.7,1.6,4.8,-14.4,55.9,6.2,69.7,19,0.0,972.7,80.9
349200660,NOWY S�CZ,12,13.6,4.9,-11.9,-1.5,1.5,-17.2,41.7,10.3,69.5,11,0.0,978.4,82.6
349210670,KROSNO,1,13.8,4.2,-3.4,1.1,2.5,-3.7,94.2,16.6,21.0,8,3.2,977.1,88.0
349210670,KROSNO,2,10.2,3.1,-11.6,-2.0,0.4,-17.4,57.4,10.9,63.7,5,3.4,982.8,80.7
349210670,KROSNO,3,17.7,9.8,-6.0,1.2,5.1,-6.6,51.2,14.8,168.4,11,3.7,971.9,68.8
349210670,KROSNO,4,21.1,12.3,-3.1,3.7,7.6,-3.3,34.8,6.9,146.4,11,2.9,975.3,72.5
349210670,KROSNO,5,25.0,18.1,1.4,7.8,13.0,-0.8,36.7,22.9,244.2,11,2.6,980.8,69.6
349210670,KROSNO,6,27.9,21.8,4.8,12.2,16.7,3.4,134.8,49.4,216.3,16,2.1,977.5,76.2
349210670,KROSNO,7,31.4,24.8,10.7,14.6,19.6,10.1,99.2,50.0,266.8,11,2.6,975.3,72.8
349210670,KROSNO,8,31.2,25.7,9.8,15.6,20.2,9.2,94.2,18.9,228.4,14,2.3,976.1,77.5
349210670,KROSNO,9,27.5,22.9,8.7,12.9,17.6,8.1,69.5,18.9,244.2,9,2.5,981.5,78.7
349210670,KROSNO,10,22.2,15.9,-0.8,8.5,11.9,-1.7,97.6,32.8,139.5,16,3.4,974.6,79.8
349210670,KROSNO,11,16.6,6.8,-7.0,2.2,4.2,-11.7,83.0,9.9,44.0,12,3.4,968.4,86.1
349210670,KROSNO,12,11.5,3.1,-7.0,-0.7,1.1,-11.2,56.1,14.8,50.3,5,3.6,974.0,89.3
349220690,LESKO,1,13.8,4.4,-4.2,0.8,2.4,-4.6,84.3,15.9,28.6,10,2.8,966.4,85.2
349220690,LESKO,2,8.8,2.8,-12.8,-2.5,0.0,-16.2,66.3,10.6,65.8,4,3.0,971.7,0.0
349220690,LESKO,3,16.8,9.3,-6.4,0.5,4.5,-8.1,83.8,20.7,169.5,11,3.2,961.4,68.7
349220690,LESKO,4,19.6,11.4,-3.1,2.7,6.7,-2.9,75.0,17.9,114.5,11,2.3,964.5,73.0
349220690,LESKO,5,24.3,18.0,0.6,7.2,12.5,0.4,41.6,14.1,215.1,12,2.2,970.2,70.9
349220690,LESKO,6,28.2,21.3,4.1,11.5,16.1,3.1,97.7,17.8,190.9,16,2.0,967.2,77.8
349220690,LESKO,7,30.0,24.3,8.5,13.5,18.8,7.5,103.9,35.0,236.6,16,2.2,965.2,74.3
349220690,LESKO,8,30.7,25.6,8.6,15.0,19.7,8.1,75.8,19.9,222.9,17,1.9,966.1,78.3
349220690,LESKO,9,27.8,22.8,7.4,11.9,16.8,6.5,55.4,13.2,235.0,13,2.0,971.3,79.5
349220690,LESKO,10,21.6,15.9,-1.9,7.9,11.8,-4.3,73.0,25.6,128.4,15,3.1,964.5,76.0
349220690,LESKO,11,17.7,6.9,-8.0,1.9,4.2,-11.9,70.2,10.4,43.5,13,2.9,957.8,80.9
349220690,LESKO,12,10.7,3.4,-7.0,-0.8,1.3,-9.6,71.1,18.0,50.4,7,3.0,963.3,82.9
350150500,JELENIA G�RA,1,17.7,5.7,-8.9,-0.8,2.7,-11.3,34.3,11.9,51.7,8,2.9,974.7,82.4
350150500,JELENIA G�RA,2,13.5,6.0,-14.0,-2.8,1.1,-16.1,51.3,11.9,94.0,7,3.0,982.6,82.8
350150500,JELENIA G�RA,3,17.8,10.1,-10.5,-0.5,4.5,-12.8,30.0,3.5,153.6,11,3.0,969.5,76.4
350150500,JELENIA G�RA,4,20.8,11.3,-7.4,1.2,6.0,-9.1,60.3,33.3,164.0,13,2.0,975.4,80.9
350150500,JELENIA G�RA,5,23.4,17.5,-2.1,4.8,11.6,-4.1,29.1,8.5,297.5,10,2.5,979.7,74.2
350150500,JELENIA G�RA,6,30.5,23.2,-0.2,8.5,16.2,-3.5,67.7,16.3,281.3,16,1.9,977.0,77.5
350150500,JELENIA G�RA,7,33.1,25.5,5.6,11.3,18.7,4.7,62.6,25.3,305.2,15,2.2,973.5,72.9
350150500,JELENIA G�RA,8,31.6,24.1,6.4,12.8,18.0,5.0,168.2,47.2,225.0,18,1.9,974.1,79.7
350150500,JELENIA G�RA,9,29.3,23.7,3.7,8.5,15.6,3.2,23.4,11.1,272.5,9,1.7,979.0,80.5
350150500,JELENIA G�RA,10,25.8,16.6,-2.4,6.0,11.1,-2.6,58.6,10.9,120.3,21,2.5,971.4,81.0
350150500,JELENIA G�RA,11,14.8,8.1,-14.3,0.8,4.5,-20.2,69.6,19.3,73.3,16,3.1,965.7,80.4
350150500,JELENIA G�RA,12,11.7,5.8,-16.3,-2.3,1.9,-22.0,57.8,14.8,63.2,7,0.0,971.2,82.6
350150510,�NIE�KA,1,7.7,-2.6,-12.1,-6.2,-4.5,0.0,106.1,13.4,43.5,7,13.5,830.5,90.2
350150510,�NIE�KA,2,8.0,-2.9,-14.5,-7.6,-5.2,0.0,47.7,11.9,99.7,3,16.0,836.5,79.7
350150510,�NIE�KA,3,6.3,-0.4,-13.1,-5.6,-3.2,0.0,130.7,16.5,0.0,4,12.3,826.9,83.1
350150510,�NIE�KA,4,7.7,0.1,-12.2,-4.3,-2.4,0.0,79.4,14.7,103.3,9,9.9,832.9,92.4
350150510,�NIE�KA,5,12.9,6.4,-4.0,1.1,3.6,0.0,51.7,14.1,229.1,11,8.7,839.7,81.1
350150510,�NIE�KA,6,18.7,11.4,-1.2,6.2,8.3,0.0,73.6,11.1,201.1,17,8.6,839.8,82.7
350150510,�NIE�KA,7,21.2,13.9,1.8,7.9,10.5,0.0,69.7,10.5,268.6,20,8.3,837.8,77.4
350150510,�NIE�KA,8,20.3,13.4,1.2,8.7,10.7,0.0,197.6,54.3,171.3,22,8.4,838.2,87.1
350150510,�NIE�KA,9,18.4,12.9,2.4,7.8,10.1,0.0,21.7,6.9,203.5,14,8.5,842.2,82.5
350150510,�NIE�KA,10,13.9,7.2,-5.1,1.8,4.2,0.0,111.6,11.9,79.6,21,12.8,832.6,90.9
350150510,�NIE�KA,11,5.5,-2.1,-13.6,-5.7,-3.9,0.0,133.7,13.2,18.3,6,13.8,823.4,96.2
350150510,�NIE�KA,12,7.8,-2.0,-13.0,-6.2,-4.0,0.0,157.4,18.6,31.9,7,17.0,827.7,90.3
350160520,K�ODZKO,1,16.3,4.5,-6.5,0.4,2.5,-8.0,13.1,2.0,42.6,9,3.6,973.6,87.5
350160520,K�ODZKO,2,11.2,4.6,-12.0,-1.4,1.3,-12.6,13.6,4.1,79.3,4,3.3,981.1,80.8
350160520,K�ODZKO,3,17.7,9.3,-7.0,1.2,4.9,-8.0,17.2,2.8,125.7,8,4.0,968.4,73.1
350160520,K�ODZKO,4,19.0,10.8,-7.3,2.3,6.3,-8.6,62.2,12.2,123.2,14,2.4,973.5,76.8
350160520,K�ODZKO,5,22.2,16.8,-0.8,5.6,11.3,-3.3,33.8,11.5,218.4,9,2.1,978.0,73.0
350160520,K�ODZKO,6,29.9,22.8,1.8,9.6,16.2,-0.7,59.1,12.9,250.8,15,1.8,975.3,73.8
350160520,K�ODZKO,7,31.5,25.4,6.5,12.3,18.8,5.1,81.4,27.6,266.9,17,2.3,972.3,69.5
350160520,K�ODZKO,8,31.6,24.3,5.9,13.9,18.8,4.0,148.7,52.5,198.0,17,2.4,972.8,75.6
350160520,K�ODZKO,9,28.8,23.5,5.6,10.3,16.5,4.3,38.6,18.4,247.4,7,2.2,977.8,77.5
350160520,K�ODZKO,10,23.6,15.9,-1.6,7.5,11.3,-3.3,47.7,8.6,121.8,15,3.3,970.5,81.0
350160520,K�ODZKO,11,13.8,7.1,-15.8,1.8,4.4,-19.2,62.6,28.1,52.3,12,3.9,964.6,81.6
350160520,K�ODZKO,12,10.6,4.8,-15.3,-0.3,2.4,-20.4,35.2,7.5,35.6,10,4.1,970.4,82.1
350170530,OPOLE,1,14.7,5.9,-5.3,1.2,3.5,-6.6,39.7,5.6,58.9,6,2.8,996.8,84.2
350170530,OPOLE,2,11.7,5.9,-9.6,-0.4,2.4,-9.3,45.3,11.8,63.3,10,3.1,1004.2,79.4
350170530,OPOLE,3,19.0,10.7,-6.6,2.1,5.9,-7.5,28.8,4.1,125.0,13,2.9,991.3,71.1
350170530,OPOLE,4,22.5,13.0,-5.4,3.9,8.0,-7.4,50.7,7.2,148.5,14,2.6,996.4,74.7
350170530,OPOLE,5,26.3,19.2,0.0,7.8,13.5,-1.1,62.4,25.4,250.7,8,2.4,1000.9,65.0
350170530,OPOLE,6,31.1,24.9,5.7,12.3,18.6,3.6,68.6,27.8,292.2,11,0.0,997.3,66.3
350170530,OPOLE,7,33.4,27.2,8.7,14.6,20.7,8.0,48.2,7.4,284.8,16,1.9,994.1,65.5
350170530,OPOLE,8,33.3,25.9,8.8,15.5,20.2,7.7,131.1,28.8,231.3,17,1.9,994.7,75.4
350170530,OPOLE,9,31.3,24.8,9.0,12.6,18.2,8.0,34.3,11.4,257.2,6,1.8,1000.1,75.7
350170530,OPOLE,10,25.2,17.0,-1.4,8.4,12.4,-1.5,91.6,16.3,118.8,20,2.3,992.9,80.3
350170530,OPOLE,11,17.0,8.5,-5.2,3.0,5.6,-4.5,109.9,34.6,71.5,12,2.9,987.5,80.1
350170530,OPOLE,12,11.9,5.8,-12.6,0.1,2.9,-16.1,38.7,6.8,48.6,7,2.9,993.3,81.5
350180540,RACIB�RZ,1,14.3,5.7,-3.9,1.5,3.5,-6.3,23.8,4.6,62.0,10,3.9,992.0,84.0
350180540,RACIB�RZ,2,12.5,5.7,-8.5,-0.4,2.3,-10.7,21.8,7.4,70.3,9,4.0,999.2,79.0
350180540,RACIB�RZ,3,20.3,10.9,-4.8,1.8,5.8,-8.6,15.5,4.0,139.9,8,4.2,986.7,72.7
350180540,RACIB�RZ,4,21.4,12.5,-4.7,3.5,7.7,-7.5,48.6,8.1,155.4,13,3.2,991.1,76.6
350180540,RACIB�RZ,5,25.6,18.6,0.0,7.5,13.2,-2.4,57.3,33.2,249.3,7,2.9,995.5,68.9
350180540,RACIB�RZ,6,30.8,24.1,6.0,11.9,18.0,4.0,55.3,18.1,296.6,8,2.6,992.3,69.2
350180540,RACIB�RZ,7,32.7,26.7,8.5,13.8,20.1,6.0,55.1,15.7,279.1,16,2.6,989.5,69.8
350180540,RACIB�RZ,8,32.2,25.4,7.9,14.9,19.9,5.4,80.6,17.6,224.6,17,2.7,990.0,76.2
350180540,RACIB�RZ,9,30.3,24.5,8.1,12.4,18.0,6.0,59.9,36.8,247.3,8,2.4,995.3,76.7
350180540,RACIB�RZ,10,24.7,17.5,-1.0,8.3,12.6,-3.8,64.6,14.1,148.3,14,3.0,988.4,80.2
350180540,RACIB�RZ,11,17.6,8.4,-5.5,2.8,5.4,-8.5,62.7,16.1,84.1,14,3.9,982.9,83.3
350180540,RACIB�RZ,12,11.9,5.3,-16.7,-0.5,2.6,-20.7,38.6,9.3,52.0,9,4.0,988.8,84.1
350190550,CZ�STOCHOWA,1,14.9,4.8,-5.2,1.1,2.6,-6.1,42.1,9.8,49.2,11,2.5,980.6,86.7
350190550,CZ�STOCHOWA,2,10.2,4.1,-10.7,-1.3,1.1,-15.4,55.4,16.2,65.7,11,2.7,987.2,80.3
350190550,CZ�STOCHOWA,3,19.2,9.7,-6.5,1.0,4.8,-9.4,30.7,4.8,130.8,14,2.6,975.3,72.5
350190550,CZ�STOCHOWA,4,22.2,12.5,-5.3,3.7,7.7,-7.8,47.8,12.2,144.0,12,2.6,980.3,72.2
350190550,CZ�STOCHOWA,5,24.4,18.2,1.0,7.9,13.0,-2.5,52.4,15.9,251.5,7,2.5,985.5,62.3
350190550,CZ�STOCHOWA,6,30.4,23.7,4.5,12.7,17.9,3.8,63.8,12.1,274.3,12,2.0,982.0,64.7
350190550,CZ�STOCHOWA,7,31.6,25.8,8.4,14.6,19.9,7.5,89.0,61.1,271.3,12,0.0,978.9,66.2
350190550,CZ�STOCHOWA,8,32.2,24.9,9.4,15.6,19.9,8.2,110.8,32.2,205.7,18,1.7,0.0,74.3
350190550,CZ�STOCHOWA,9,29.4,23.7,9.5,13.2,18.1,7.6,24.5,7.8,248.1,11,1.7,985.1,72.0
350190550,CZ�STOCHOWA,10,25.0,15.8,0.0,7.9,11.3,-2.0,85.6,20.5,117.6,18,1.9,977.4,83.3
350190550,CZ�STOCHOWA,11,0.0,0.0,0.0,0.0,4.2,0.0,72.4,13.9,0.0,19,0.0,0.0,85.0
350190550,CZ�STOCHOWA,12,10.0,3.9,-7.9,-0.3,1.7,-14.9,80.1,11.9,0.0,20,2.5,977.0,86.7
350190560,KATOWICE-MUCHOWIEC,1,16.0,5.3,-4.1,0.5,2.9,-7.3,60.4,7.3,44.1,9,2.8,982.9,85.5
350190560,KATOWICE-MUCHOWIEC,2,11.3,4.8,-12.5,-1.8,1.3,-13.2,70.6,14.2,65.3,8,2.9,989.8,80.1
350190560,KATOWICE-MUCHOWIEC,3,19.3,10.6,-7.1,0.6,5.4,-8.2,34.8,5.6,132.2,11,3.0,977.7,70.5
350190560,KATOWICE-MUCHOWIEC,4,22.0,12.8,-6.4,3.3,7.9,-7.0,41.0,8.8,147.4,16,2.1,982.1,72.1
350190560,KATOWICE-MUCHOWIEC,5,24.3,18.3,-0.3,7.0,13.0,-2.0,77.5,34.1,232.4,8,2.5,987.0,66.3
350190560,KATOWICE-MUCHOWIEC,6,29.7,23.7,5.1,11.6,17.7,2.4,91.8,24.7,264.3,12,2.1,983.7,68.3
350190560,KATOWICE-MUCHOWIEC,7,31.6,25.9,8.4,14.1,19.8,6.3,66.8,22.5,0.0,13,0.0,0.0,70.6
350190560,KATOWICE-MUCHOWIEC,8,31.4,25.1,7.8,15.0,19.7,5.7,96.8,30.9,207.1,17,2.0,981.6,79.4
350190560,KATOWICE-MUCHOWIEC,9,29.6,23.9,8.4,12.1,17.5,6.1,43.9,16.0,238.6,11,1.6,986.9,79.1
350190560,KATOWICE-MUCHOWIEC,10,24.7,16.6,-2.3,7.1,11.7,-4.8,80.1,17.2,131.4,16,2.5,979.8,83.4
350190560,KATOWICE-MUCHOWIEC,11,17.2,7.8,-6.4,2.0,4.8,-9.9,82.1,17.0,57.2,16,3.0,974.0,84.8
350190560,KATOWICE-MUCHOWIEC,12,10.9,4.9,-7.9,-0.3,2.3,-13.3,83.5,13.0,40.4,10,3.3,979.7,84.4
350190566,KRAK�W-BALICE,1,15.3,5.5,-4.3,-0.1,2.5,-5.8,49.0,7.6,0.0,9,2.9,987.8,86.7
350190566,KRAK�W-BALICE,2,11.0,4.8,-13.9,-1.8,1.4,-15.9,49.6,13.9,0.0,10,4.1,994.5,79.7
